Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Total_Sales
2023-01-25,Headphones,North,Bob,5,845.92,4229.599999999999
2023-01-25,Mouse,Central,Alice,2,1789.45,3578.9
2023-01-25,Speaker,West,Bob,10,1041.16,10411.6
2023-01-25,Phone,West,Grace,18,1549.52,27891.36
2023-01-26,Keyboard,East,Frank,15,164.09,2461.35
2023-01-26,Speaker,North,Henry,11,1918.68,21105.48
2023-01-26,Tablet,South,Henry,15,754.44,11316.6
2023-01-26,Phone,North,Frank,14,1083.23,15165.220000000001
2023-01-26,Speaker,Central,Diana,5,700.17,3500.85
2023-01-26,Keyboard,North,Grace,14,1563.0,21882.0
2023-01-27,Headphones,North,Eve,6,1163.96,6983.76
2023-01-27,Speaker,South,Grace,11,1494.68,16441.48
2023-01-27,Phone,South,Frank,2,834.72,1669.44
2023-01-27,Tablet,South,Frank,8,870.0,6960.0
2023-01-27,Headphones,North,Charlie,12,904.9,10858.8
2023-01-28,Keyboard,East,Henry,5,1626.38,8131.900000000001
2023-01-28,Keyboard,East,Bob,4,1865.2,7460.8
2023-01-28,Headphones,East,Henry,17,1658.03,28186.51
2023-01-28,Headphones,East,Charlie,8,817.16,6537.28
2023-01-28,Speaker,South,Grace,7,1214.06,8498.42
2023-01-28,Monitor,North,Frank,16,1183.5,18936.0
2023-01-28,Keyboard,South,Grace,14,336.96,4717.44
2023-01-29,Phone,North,Eve,14,1917.11,26839.539999999997
2023-01-29,Phone,Central,Bob,18,773.91,13930.38
2023-01-29,Mouse,North,Grace,10,667.27,6672.7
2023-01-29,Tablet,South,Henry,12,1444.7,17336.4
2023-01-29,Keyboard,West,Diana,2,1629.08,3258.16
2023-01-29,Mouse,Central,Eve,3,825.42,2476.2599999999998
2023-01-29,Mouse,East,Charlie,7,674.01,4718.07
2023-01-29,Tablet,West,Henry,16,1461.47,23383.52
2023-01-29,Headphones,East,Grace,4,1442.09,5768.36
2023-01-30,Keyboard,North,Bob,11,101.27,1113.97
2023-01-30,Mouse,East,Henry,8,795.33,6362.64
2023-01-30,Keyboard,Central,Diana,9,1496.54,13468.86
2023-01-31,Laptop,East,Alice,9,1167.86,10510.74
2023-01-31,Headphones,East,Eve,16,1173.99,18783.84
2023-01-31,Monitor,North,Grace,4,1326.97,5307.88
2023-01-31,Tablet,East,Bob,16,1290.47,20647.52
2023-02-01,Keyboard,South,Bob,16,1054.83,16877.28
2023-02-01,Tablet,North,Diana,18,320.64,5771.5199999999995
2023-02-01,Keyboard,North,Diana,18,594.74,10705.32
2023-02-02,Headphones,Central,Eve,5,87.11,435.55
2023-02-02,Mouse,North,Diana,8,701.21,5609.68
2023-02-02,Headphones,East,Eve,17,231.18,3930.06
2023-02-02,Speaker,East,Alice,18,138.87,2499.66
2023-02-02,Keyboard,Central,Grace,8,1698.22,13585.76
2023-02-03,Phone,West,Bob,3,1430.39,4291.17
2023-02-03,Monitor,South,Grace,6,85.74,514.4399999999999
2023-02-03,Tablet,Central,Diana,17,1402.77,23847.09
2023-02-04,Speaker,West,Grace,19,1590.37,30217.03
2023-02-04,Mouse,Central,Henry,14,1769.83,24777.62
2023-02-04,Mouse,South,Alice,6,1030.72,6184.32
2023-02-04,Headphones,West,Henry,16,1046.23,16739.68
2023-02-04,Speaker,North,Diana,14,251.24,3517.36
2023-02-04,Headphones,West,Charlie,10,1045.29,10452.9
2023-02-04,Speaker,Central,Alice,8,1217.61,9740.88
2023-02-05,Phone,East,Eve,2,1787.29,3574.58
2023-02-05,Phone,North,Henry,15,1917.74,28766.1
2023-02-05,Headphones,East,Henry,9,1306.15,11755.35
2023-02-05,Monitor,West,Alice,14,106.52,1491.28
2023-02-05,Mouse,North,Alice,14,590.72,8270.08
2023-02-06,Phone,South,Alice,8,846.42,6771.36
2023-02-06,Keyboard,East,Henry,9,1339.73,12057.57
2023-02-06,Headphones,Central,Frank,5,1245.32,6226.599999999999
2023-02-06,Phone,South,Grace,11,1305.1,14356.099999999999
2023-02-06,Monitor,North,Bob,14,316.08,4425.12
2023-02-07,Headphones,South,Charlie,17,1635.25,27799.25
2023-02-07,Keyboard,Central,Alice,4,115.61,462.44
2023-02-07,Mouse,East,Frank,5,1670.55,8352.75
2023-02-07,Keyboard,South,Bob,13,1114.01,14482.13
2023-02-07,Keyboard,West,Charlie,19,1572.59,29879.21
2023-02-08,Phone,Central,Diana,18,1034.02,18612.36
2023-02-08,Mouse,South,Charlie,14,945.3,13234.199999999999
2023-02-08,Phone,South,Grace,17,892.73,15176.41
2023-02-08,Phone,West,Frank,9,150.62,1355.58
2023-02-08,Mouse,West,Diana,6,1744.91,10469.460000000001
2023-02-08,Monitor,South,Frank,8,1327.2,10617.6
2023-02-08,Laptop,North,Eve,10,475.13,4751.3
2023-02-08,Headphones,South,Charlie,18,1255.17,22593.06
2023-02-08,Monitor,North,Eve,1,487.21,487.21
2023-02-08,Headphones,South,Charlie,6,219.27,1315.6200000000001
2023-02-08,Speaker,West,Eve,8,1464.36,11714.88
2023-02-08,Speaker,East,Grace,18,1248.15,22466.7
2023-02-08,Headphones,West,Bob,10,1142.01,11420.1
2023-02-08,Laptop,Central,Bob,18,804.2,14475.6
2023-02-08,Speaker,East,Charlie,17,752.18,12787.06
2023-02-08,Phone,East,Frank,12,1933.72,23204.64
2023-02-09,Laptop,East,Alice,13,1359.49,17673.37
2023-02-09,Phone,East,Bob,11,340.57,3746.27
2023-02-09,Headphones,North,Bob,12,1307.68,15692.16
2023-02-09,Keyboard,West,Grace,11,1586.27,17448.97
2023-02-09,Headphones,North,Diana,19,1036.37,19691.03
2023-02-09,Phone,West,Eve,7,288.28,2017.9599999999998
2023-02-09,Phone,Central,Alice,6,1084.98,6509.88
2023-02-09,Phone,Central,Frank,15,1385.84,20787.6
2023-02-09,Monitor,North,Diana,8,283.78,2270.24
2023-02-10,Mouse,Central,Charlie,4,1809.16,7236.64
2023-02-10,Monitor,Central,Henry,17,480.95,8176.15
2023-02-10,Tablet,West,Grace,5,1085.58,5427.9
2023-02-10,Phone,Central,Eve,11,132.15,1453.65
2023-02-10,Mouse,Central,Frank,9,1120.98,10088.82
2023-02-10,Headphones,East,Bob,2,1362.28,2724.56
2023-02-10,Keyboard,South,Henry,4,1272.45,5089.8
2023-02-10,Phone,Central,Alice,3,1266.53,3799.59
2023-02-10,Headphones,Central,Henry,15,1748.3,26224.5
2023-02-10,Tablet,West,Alice,8,705.13,5641.04
2023-02-10,Keyboard,North,Alice,11,955.32,10508.52
2023-02-11,Keyboard,South,Charlie,11,114.18,1255.98
2023-02-11,Speaker,North,Bob,14,620.08,8681.12
2023-02-11,Laptop,Central,Charlie,19,324.02,6156.379999999999
2023-02-11,Tablet,North,Grace,10,210.43,2104.3
2023-02-11,Laptop,East,Frank,19,611.91,11626.289999999999
2023-02-12,Mouse,South,Frank,15,309.08,4636.2
2023-02-12,Headphones,South,Diana,18,70.94,1276.92
2023-02-12,Laptop,East,Alice,13,395.57,5142.41
2023-02-12,Headphones,North,Alice,9,418.04,3762.36
2023-02-12,Tablet,North,Frank,17,156.05,2652.8500000000004
2023-02-12,Keyboard,North,Charlie,3,683.73,2051.19
2023-02-12,Phone,North,Frank,17,1226.69,20853.73
2023-02-12,Tablet,South,Henry,7,244.46,1711.22
2023-02-12,Headphones,West,Charlie,8,1983.98,15871.84
2023-02-13,Tablet,Central,Alice,5,749.29,3746.45
2023-02-13,Mouse,Central,Eve,12,1406.47,16877.64
2023-02-13,Monitor,Central,Diana,5,423.63,2118.15
2023-02-13,Headphones,South,Charlie,8,174.26,1394.08
2023-02-13,Laptop,Central,Grace,17,1211.14,20589.38
2023-02-13,Monitor,West,Henry,15,1684.28,25264.2
2023-02-14,Mouse,West,Henry,16,1002.52,16040.32
2023-02-14,Headphones,West,Eve,4,80.69,322.76
2023-02-14,Mouse,West,Frank,13,1738.24,22597.12
2023-02-14,Phone,East,Eve,6,1709.65,10257.900000000001
2023-02-15,Keyboard,West,Grace,14,1685.04,23590.559999999998
2023-02-15,Mouse,South,Henry,8,1405.11,11240.88
2023-02-15,Tablet,North,Grace,10,1589.18,15891.800000000001
2023-02-15,Mouse,East,Alice,9,95.59,860.3100000000001
2023-02-15,Tablet,North,Henry,10,523.25,5232.5
2023-02-16,Keyboard,Central,Alice,8,1415.77,11326.16
2023-02-16,Laptop,Central,Henry,18,600.12,10802.16
2023-02-16,Speaker,East,Henry,6,1548.14,9288.84
2023-02-16,Speaker,West,Grace,15,572.59,8588.85
2023-02-16,Mouse,North,Bob,13,1479.22,19229.86
2023-02-16,Monitor,South,Diana,19,1246.49,23683.31
2023-02-16,Laptop,North,Bob,7,737.43,5162.009999999999
2023-02-16,Tablet,Central,Henry,14,81.56,1141.8400000000001
2023-02-16,Mouse,North,Diana,6,1853.37,11120.22
2023-02-16,Speaker,Central,Henry,6,1042.04,6252.24
2023-02-16,Phone,North,Charlie,14,1560.88,21852.32
2023-02-17,Tablet,North,Alice,9,1503.18,13528.62
2023-02-17,Keyboard,North,Grace,1,1644.03,1644.03
2023-02-17,Keyboard,East,Grace,14,319.82,4477.48
2023-02-17,Headphones,South,Frank,17,1431.76,24339.92
2023-02-17,Headphones,East,Alice,18,1809.2,32565.600000000002
2023-02-18,Keyboard,South,Frank,1,363.2,363.2
2023-02-18,Tablet,Central,Alice,9,1993.29,17939.61
2023-02-18,Speaker,East,Henry,13,231.85,3014.0499999999997
2023-02-18,Phone,Central,Eve,11,1557.22,17129.420000000002
2023-02-18,Phone,Central,Grace,1,385.92,385.92
2023-02-18,Phone,South,Charlie,14,990.06,13860.84
2023-02-18,Laptop,Central,Frank,12,1229.02,14748.24
2023-02-18,Laptop,South,Henry,14,1126.76,15774.64
2023-02-18,Phone,West,Charlie,13,1238.53,16100.89
2023-02-18,Monitor,East,Alice,13,667.13,8672.69
2023-02-19,Phone,South,Diana,4,1357.74,5430.96
2023-02-19,Mouse,South,Frank,10,1709.83,17098.3
2023-02-19,Mouse,East,Charlie,16,568.87,9101.92
2023-02-19,Tablet,Central,Bob,2,585.75,1171.5
2023-02-19,Speaker,North,Henry,8,750.99,6007.92
2023-02-20,Tablet,South,Henry,6,491.36,2948.16
2023-02-20,Phone,Central,Henry,10,1836.56,18365.6
2023-02-20,Keyboard,South,Eve,12,989.1,11869.2
2023-02-20,Phone,North,Alice,7,323.05,2261.35
2023-02-20,Mouse,West,Diana,8,257.41,2059.28
2023-02-20,Keyboard,South,Diana,7,1399.27,9794.89
2023-02-21,Speaker,East,Charlie,8,174.49,1395.92
2023-02-22,Headphones,North,Frank,10,1866.63,18666.300000000003
2023-02-22,Headphones,East,Diana,5,1506.82,7534.099999999999
2023-02-22,Phone,West,Alice,9,606.81,5461.289999999999
2023-02-22,Laptop,West,Henry,10,1150.47,11504.7
2023-02-22,Laptop,South,Grace,3,1775.58,5326.74
2023-02-22,Phone,West,Grace,19,572.09,10869.710000000001
2023-02-22,Phone,North,Charlie,18,1716.44,30895.920000000002
2023-02-22,Monitor,Central,Alice,9,82.05,738.4499999999999
2023-02-22,Tablet,West,Charlie,6,1970.56,11823.36
2023-02-23,Mouse,West,Grace,19,378.77,7196.629999999999
2023-02-23,Phone,West,Henry,5,1922.21,9611.05
2023-02-23,Monitor,East,Frank,1,1926.41,1926.41
2023-02-23,Phone,Central,Henry,19,1492.87,28364.53
2023-02-23,Keyboard,South,Eve,6,1676.12,10056.72
2023-02-23,Mouse,North,Grace,10,685.99,6859.9
2023-02-23,Monitor,Central,Grace,3,1486.01,4458.03
2023-02-23,Laptop,Central,Frank,11,242.8,2670.8
2023-02-24,Laptop,South,Bob,13,1549.67,20145.71
2023-02-24,Keyboard,East,Henry,17,543.51,9239.67
2023-02-24,Monitor,East,Henry,12,1709.32,20511.84
2023-02-24,Laptop,Central,Charlie,7,792.53,5547.71
2023-02-24,Monitor,West,Frank,13,1375.43,17880.59
2023-02-24,Phone,East,Bob,18,221.32,3983.7599999999998
2023-02-25,Mouse,Central,Charlie,11,1817.22,19989.420000000002
2023-02-25,Keyboard,East,Henry,5,1544.49,7722.45
2023-02-25,Headphones,East,Frank,2,716.26,1432.52
2023-02-25,Monitor,South,Henry,5,1721.12,8605.599999999999
2023-02-25,Monitor,Central,Henry,4,1126.13,4504.52
2023-02-26,Monitor,South,Henry,7,1953.73,13676.11
2023-02-26,Mouse,North,Eve,14,1771.34,24798.76
2023-02-26,Headphones,East,Diana,16,768.11,12289.76
2023-02-26,Tablet,East,Diana,10,1811.12,18111.199999999997
2023-02-27,Phone,South,Diana,15,1246.18,18692.7
2023-02-27,Tablet,West,Frank,12,448.74,5384.88
2023-02-27,Mouse,West,Frank,12,476.79,5721.4800000000005
2023-02-27,Phone,South,Bob,2,691.75,1383.5
2023-02-27,Keyboard,West,Grace,13,1078.42,14019.460000000001
2023-02-27,Speaker,South,Frank,16,439.73,7035.68
2023-02-27,Headphones,South,Bob,3,1319.39,3958.17
2023-02-28,Tablet,Central,Frank,12,749.99,8999.880000000001
2023-02-28,Phone,Central,Frank,19,997.66,18955.54
2023-02-28,Laptop,West,Henry,8,1011.87,8094.96
2023-02-28,Monitor,North,Charlie,1,903.42,903.42
2023-02-28,Headphones,Central,Eve,1,1175.04,1175.04
2023-02-28,Phone,Central,Grace,7,1889.59,13227.13
2023-02-28,Mouse,South,Bob,14,1994.33,27920.62
2023-02-28,Tablet,Central,Alice,1,288.7,288.7
2023-02-28,Mouse,South,Frank,13,1486.61,19325.93
2023-02-28,Speaker,South,Bob,10,407.79,4077.9
2023-02-28,Mouse,West,Henry,16,715.04,11440.64
2023-02-28,Mouse,West,Diana,14,1448.7,20281.8
2023-03-01,Laptop,Central,Eve,18,1369.42,24649.56
2023-03-01,Mouse,South,Grace,3,579.46,1738.38
2023-03-01,Tablet,West,Charlie,6,375.13,2250.7799999999997
2023-03-01,Tablet,South,Frank,16,1504.31,24068.96
2023-03-01,Keyboard,South,Diana,7,1968.49,13779.43
2023-03-02,Laptop,South,Alice,10,1017.93,10179.3
2023-03-02,Speaker,West,Henry,16,1523.44,24375.04
2023-03-02,Headphones,East,Frank,5,350.42,1752.1000000000001
2023-03-02,Laptop,East,Eve,16,386.87,6189.92
2023-03-02,Headphones,East,Henry,14,856.36,11989.04
2023-03-02,Laptop,South,Alice,19,1358.89,25818.910000000003
2023-03-03,Keyboard,West,Alice,17,1558.36,26492.12
2023-03-03,Keyboard,East,Henry,11,1470.98,16180.78
2023-03-03,Monitor,North,Grace,14,1620.89,22692.460000000003
2023-03-03,Keyboard,North,Bob,14,1481.16,20736.24
2023-03-03,Laptop,Central,Bob,3,1143.25,3429.75
2023-03-03,Laptop,Central,Henry,15,655.98,9839.7
2023-03-04,Keyboard,Central,Henry,10,1505.52,15055.2
2023-03-04,Phone,East,Henry,11,1021.96,11241.560000000001
2023-03-04,Speaker,South,Alice,6,205.42,1232.52
2023-03-04,Speaker,North,Eve,3,1177.97,3533.91
2023-03-04,Keyboard,South,Henry,13,346.52,4504.76
2023-03-04,Tablet,Central,Alice,14,106.38,1489.32
2023-03-04,Mouse,West,Charlie,13,969.59,12604.67
2023-03-04,Mouse,West,Diana,16,1085.08,17361.28
2023-03-05,Speaker,North,Diana,8,512.65,4101.2
2023-03-05,Monitor,South,Henry,3,1222.2,3666.6000000000004
2023-03-05,Keyboard,Central,Bob,9,329.15,2962.35
2023-03-05,Mouse,South,Charlie,6,154.32,925.92
2023-03-06,Laptop,North,Bob,12,1981.91,23782.920000000002
2023-03-06,Laptop,East,Bob,9,1749.89,15749.01
2023-03-06,Laptop,East,Charlie,10,131.94,1319.4
2023-03-06,Monitor,East,Bob,2,473.96,947.92
2023-03-06,Laptop,West,Grace,8,1645.56,13164.48
2023-03-06,Phone,East,Grace,15,787.4,11811.0
2023-03-06,Mouse,East,Alice,19,1821.16,34602.04
2023-03-06,Speaker,South,Diana,13,688.32,8948.16
2023-03-06,Phone,North,Henry,15,1538.66,23079.9
2023-03-07,Tablet,North,Eve,8,1415.6,11324.8
2023-03-07,Laptop,South,Eve,17,1994.61,33908.369999999995
2023-03-07,Mouse,West,Charlie,18,1084.84,19527.12
2023-03-07,Laptop,South,Henry,19,592.02,11248.38
2023-03-07,Tablet,West,Frank,13,740.43,9625.59
2023-03-07,Tablet,Central,Grace,11,1462.51,16087.61
2023-03-08,Speaker,West,Henry,2,1024.15,2048.3
2023-03-08,Tablet,Central,Alice,18,1140.07,20521.26
2023-03-08,Monitor,Central,Eve,15,724.36,10865.4
2023-03-09,Mouse,East,Charlie,17,1236.32,21017.44
2023-03-09,Tablet,East,Henry,10,143.4,1434.0
2023-03-09,Headphones,Central,Eve,13,1519.49,19753.37
2023-03-09,Keyboard,East,Grace,15,154.24,2313.6000000000004
2023-03-09,Headphones,Central,Grace,11,1817.51,19992.61
2023-03-09,Mouse,North,Alice,14,1428.59,20000.26
2023-03-10,Speaker,North,Henry,9,1847.42,16626.78
2023-03-10,Phone,South,Charlie,2,1356.29,2712.58
2023-03-10,Speaker,East,Diana,4,1988.41,7953.64
2023-03-10,Keyboard,Central,Diana,1,702.91,702.91
